asset_url,ext,used_on_pages
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x551_v-fs_webp_0536104c-5376-4ce7-bc64-fe8051a8227f_small.webp",webp,"/news_contents/euDlXpBw"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x566_v-fs_webp_cc5db43c-1402-404f-b31e-3ff35f3d8c25.jpg",jpg,"/news_contents/q34MK8ul"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x566_v-fs_webp_cc5db43c-1402-404f-b31e-3ff35f3d8c25_small.webp",webp,"/news_contents/q34MK8ul"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x574_2ea2085e-bbc9-4f31-9309-8991ca26839e.webp",webp,"/news_contents/direct_sales_growth"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x576_v-fs_webp_b2872028-e18e-443a-bea3-0f9b40a7c01d.jpg",jpg,"/news_contents/1Px2hizl"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x576_v-fs_webp_b2872028-e18e-443a-bea3-0f9b40a7c01d_small.webp",webp,"/news_contents/1Px2hizl"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x576_v-fs_webp_ec00e50d-105c-46d3-96e4-1ad9c7b2e642.jpg",jpg,"/news_contents/t9wJn0bC"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x576_v-fs_webp_ec00e50d-105c-46d3-96e4-1ad9c7b2e642_small.webp",webp,"/news_contents/t9wJn0bC"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x577_c75f65b4-3c26-4285-ae32-ca9abc96c24d.webp",webp,"/news_contents/agrigpt"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x631_v-fs_webp_789de81e-739b-4661-8fe9-ef4d746754ff.png",png,"/news_contents/euDlXpBw"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x631_v-fs_webp_789de81e-739b-4661-8fe9-ef4d746754ff_small.webp",webp,"/news_contents/euDlXpBw"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x683_b52d8a41-320a-4393-9c2b-701fad043d0c.webp",webp,"/news_contents/agrigpt"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x683_v-fs_webp_8b0f2706-789e-4ab2-97c3-71c4dfa2c076.jpg",jpg,"/news_contents/ioTzQaMU"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x683_v-fs_webp_8b0f2706-789e-4ab2-97c3-71c4dfa2c076_small.webp",webp,"/news_contents/ioTzQaMU"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x683_v-fs_webp_da672214-4ce1-4992-a0a2-7598c46aff4c.jpg",jpg,"/news_contents/ioTzQaMU"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x683_v-fs_webp_da672214-4ce1-4992-a0a2-7598c46aff4c_small.webp",webp,"/news_contents/ioTzQaMU"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x683_v-fs_webp_daa67373-bee1-4ad6-bb81-b011214fe355.jpg",jpg,"/news_contents/ioTzQaMU"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x683_v-fs_webp_daa67373-bee1-4ad6-bb81-b011214fe355_small.webp",webp,"/news_contents/ioTzQaMU"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x685_b514c8b3-c93c-4c8d-b42b-0a857e527a02.webp",webp,"/news_contents/report_saver"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x705_6558a581-1069-475a-9522-4d77e6fc6b7c.webp",webp,"/news_contents/agri_ai_pest_diagnosis"
